# maelstrom - GimmeMotifs version 0.16.1
# method: mwu with motif score
# motif table: /media/ia1014/2011CBA352BBC48B/ipek/Diff_ATAC_maelstrom.out/motif.nr.score.txt.gz
# activity values: BH-corrected -log10 Mann-Whitney U p-value
	ATAC_gain	ATAC_loss
GM.5.0.STAT.0007	-0.0	3.001802583184069
GM.5.0.Unknown.0004	-0.0	3.108061306885854
GM.5.0.C2H2_ZF.0136	-0.0	0.9881639414312334
GM.5.0.RFX.0003	-0.0	0.5847169571289896
GM.5.0.Unknown.0017	-0.0	2.9628475405790136
GM.5.0.bHLH.0006	1.1532565736559355	-0.0
GM.5.0.C2H2_ZF.0243	0.24576957384804837	-0.0
GM.5.0.Ets.0046	0.7816979246511232	-0.0
GM.5.0.bZIP.0096	-0.0	0.44746814605867974
GM.5.0.Rel.0006	-0.0	3.731138111263718
GM.5.0.bZIP.0003	-0.0	23.1364652961291
GM.5.0.Homeodomain.0178	0.04941120871548556	-0.0
GM.5.0.bZIP.0013	-0.0	28.66774773234005
GM.5.0.SAND.0004	2.385140909654618	-0.0
GM.5.0.RFX.0018	-0.0	0.03004307831037199
GM.5.0.Unknown.0124	-0.0	2.332492768608432
GM.5.0.GATA.0013	-0.0	11.616392061741397
GM.5.0.Forkhead.0043	-0.0	15.078411234691542
